Title,Author,CallNo,AccNo,
Inside networks,"Hardy, James L",004.65 HAR,201709,
Instant notes in animal biology,"Jurd, Richard D.",591.1 JUR,201379,
Instant notes in Microbiology,"Nicklin, J",579 MIC,201382,
Instructor's solutions manual to accompany: Atkins' physical chemistry,"Trapp, C. A.",541.3 TRA,301143,
Instrument mechanic trade theory,"Sethi, G S",530.7 SET,233411,
Instrumental analysis,"Skoog, Douglas A",543.00284 SKO,265262,
Instrumental methods of chemical analysis,"Ewing, Galen W",543.08 EWI,316920,
"Instrumentation,measurement and analysis","Nakra, B C",621.372 NAK,236170,
Instrumentation: devices and systems,"Rangan, C. S",621.372 RAN,203440,
Insurance and risk management,"Gupta, P. K.",368.0060954 GUP,303165,
Insurance in India,Sajid Ali,368.00954 SAJ,257974,
Insurance in India: changing policies and emerging opportunities,"Palande, P S",368.0954 PAL,235561,
Insurance management: principles and practices,Karam Pal,368.0068 KAR,257978,
Insurance: principles and practice,"Mishra, M N.",368 MIS,235556,
Integral Calculus,"Sharma, G. C",515.43 SHA,195495,
Integral calculus,Shanti Narayan,515.43 SHA,204272,
Integral calculus,"Dhami, H. S.",515.43 DHA,234612,
Integral calculus for beginners,"Edwards, Joseph",515.43 EDW,238651,
Integrated approach to software engineering,"Jalote, Pankaj",005.1 JAL,238892,
Integrated electronics: analog and digital circuits and systems,"Millman, Jacob",537.5 MIL,163397,
Intel microprocessors: architecture programming and interfacing,"Brey, Barry B.",004.22 BRE,300320,
Intellectual foundations of China,"Mote, Frederick W",181.11 MOT,64860,
Intelligence: its evolution and forms,"Viaud, Gaston",153.9 VIA,24090,
Intermediate macroeconomics,"Darby, Michael R",339 DAR,97013,
"Intermediate microeconomic: theory, issues and applications","Miller, Roger Leroy",338.5 MIL,69564,
Intermediate physics for medicine and biology,"Hobbie, Russell K",610.153 HOB,254684,
Intermediate structural analysis,"Wang, C. K",624.171 WAN,112730,
Intermidiate engineering drawing: including a course in plane and solid geometry and an introduction to design,"Parkinson, A. C",604.2 PAR,36970,
Internal combustion engine: in theory and practice,"Ballaney, P. L",621.43 BAL,111421,
Internal combustion engines,"Ganesan, V",621.43 GAN,168326,
Internal combustion engines: Including gas turbines theory and practice,"Ballaney, P L",621.43 BAL,232958,
International accounting,"Rathore, Shivin",657 RAT,193557,
International affairs,"Gupta, D. C",327 GUP,C12870,
International business,"Hill, Charles W L",382 HIL,229901,
International business,"Woods, Margaret",382 WOO,237548,
International business and marketing management,Yogendra Singh,658.8 YOG,241607,
International business environment,"Cherunilam, Francis.",382 CHE,296933,
International business environment: text and cases,"Sundaram, Anant K.",382 SUN,229844,
International business: a strategic management approach,"Rugman, Alan M",658.049 RUG,176321,
International business: an integrated approach,"Wild, John J.",382 WIL,195335,
International business: competing in the global marketplace,"Hill, Charles W.L.",382 HIL,299741,
International business: environments and operations,"Daniels, John D",382 DAN,199233,
International business: text and cases,"Rao, P. Subba",382 RAO,296775,
International business: text and cases,"Subba Rao, P",382 SUB,303162,
International economics,"Kindleberger, Charles P",337 KIN,61205,
International economics,"Walter, Ingo",337 WAL,103447,
International economics,"Sodersten, Bo",337 SOD,105138,
International economics,"Mannur, H. G",337 MAN,165944,
International economics,"Sawyer, W Charles",337 SAW,229475,
International economics,"Sodersten, Bo",337 SOD,229735,
International economics,"Salvatore, Dominick",337 SAL,277267,
International economics,"Sodersten, Bo",337 SOD,317692,
International economics.,"Salvatore, Dominick",337 SAL,180087,
International economics: theory and policy,"Krugman, Paul R",337 KRU,285570,
International economics: theory of policy,"Meier, Gerald M",337 MEI,75698,
International economics: trade and finance,"Salvatore, Dominick",337 SAL,317694,
International finance and open economy macroeconomics,"Rivera-Batiz, Francisco L",332.042 RIV,167206,
International finance: theory and practice,"Avadhani, V. A",332.15 AVA,176439,
International financial management,"Seth, A. K.",658.18 SET,189738,
International financial management,"Apte, P. G",658.18 APT,190050,
International financial management,"Sharan, Vyuptakesh",658.18 SHA,195568,
International financial management,"Jain, P. K.",658.18 JAI,198825,
International financial management,"Apte, Prakash G.",658.18 APT,207899,
International financial management,"Eun, Cheol S.",658.18 EUN,229908,
International financial management,"Apte, Prakash G.",658.18 APT,235949,
International financial management,"Seth, A. K.",658.18 SET,235951,
International financial management,"Agarwal, O. P",658.18 AGA,303161,
International financial management,"Machiraju, H. R",658.18 MAC,303167,
International financial management,"Avadhani, V. A",658.18 AVA,303177,
International financial management: an Indian perspective,"Varshney, R L.",658.15 VAR,235898,
International human resource management,"Aswathappa, K.",658.3 ASW,256424,
International human resource management,"Rao, P. Subba",658.3 RAO,296944,
International human resource management,"Harzing, Anne - Wil, ed.",658.3 INT,320359,
International human resource management: managing people in a multinational context,"Dowling, Peter J",658.3 DOW,201053,
International law,"Ferwick, Charles G",341 FER,2527,
International management: concepts and cases,"Thakur, Manab",658.848 THA,229703,
International marketing,"Vasudeva, P. K.",658.848 VAS,194115,
International marketing,"Terpstra, Vern",658.848 TER,229696,
International marketing,"Cateora, Philip R.",658.848 CAT,229724,
International marketing,"Jain, Khushpat S.",658.848 JAI,296820,
International marketing,,658.848 VAS,303025,
International marketing management,"Jain, Subhash C.",658.848 JAI,201048,
International marketing management: an Indian perspective,"Varshney, R. L.",658.8480954 VAR,189942,
International marketing: analysis and strategy,"Onkvisit, Sak",658.848 ONK,229840,
International marketing: including export management,"Cherunilam, Francis",658.848 CHE,180521,
International marketing: text and cases,"Cherunilam, Francis",658.848 CHE,299730,
International monetary fund: reform without reconstruction ?,"Kafka, Alexandre",332.152 KAF,37835,
International money and finance,"Melvin, Michael",332.042 MEL,195306,
International organisation: a view from within,"Bilgrami, S. J. R",341.232 BIL,60828,
International relations,"Khanna, V. N",327 KHA,190399,
International relations between the two World wars: 1919-1939,"Carr, Edward Hallett",940.5 CAR,C5470,
International relations: foreign policies of major powers and regional systems,Prakash Chandra,327.1 PRA,190071,
International trade,"Varma, M. L.",382 VAR,235938,
International trade and economic growth: studies in pure theory,"Johnson, Harry G.",382.01 JOH,61394,
International trade theory and policy,"Gandolfo, Giancarlo",659.1 GAN,241739,
International trade: selected readings,"Bhagwati, Jagdish, ed.",382.01 INT,61395,
International trade: the law and practice,"Motiwal, O.P.",382.01 MOT,X1253,
International trade: theory and evidence,"Markusen, James R",382 INT,164826,
Internet and web technologies,Raj Kamal.,004.678 RAJ,233971,
Internet explorer 4: browsing and beyond,"Johnson, Dave",004.678 JOH,182739,
Internet for everyone,"Leon, Alexis",004.678 LEO,229816,
Internet marketing and e-Commerce,"Hanson, Ward",658.872 HAN,320417,
"Internet marketing: strategy, implementation and practice","Chaffey, Dave",658.872 INT,320419,
Internet.: the complete reference,"Young, Margaret Levine",004.678 YOU,229669,
Internetworking infrastructure and operations,NIIT,004.6 INT,231166,
Internetworking with TCP/IP,"Comer, Douglas E",004.678 COM,257563,
Interviewing and communication in social work,"Cross, Crispin P., ed.",361.3014 INT,63113,
Inteviewing and counselling,"Bessell, Robert",361.322 BES,60160,
Intonation: selected readings,"Bolinger, Dwight",414.6 INT,54110,
Introducing metric spaces: a problem oriented ... friendly approaches,"Arora, Sanjay",514.3 ARO,175483,
Introducing probability and statistics: a problem-oriented uncluttered friendly approach,"Arora, Sanjay",519.5 ARO,175487,
Introducing psychological research: sixty studies that shape psychology,"Banyard, Philip",150.72 BAN,175170,
Introducing UNIX system V,"Morgan, Rachel",005.382 MOR,204393,
Introduction health psychology,"Brannon, Linda",613.019 BRA,286952,
Introduction to  artificial neural systems,"Zurada, Jacek M",006.32 ZUR,233910,
Introduction to a social worker,National institute for social work training,361.3092 NAT,63064,
Introduction to accountancy,"Grewal, T. S",657 GRE,106639,
Introduction to algorithms,"Cormen, Thomas H.",511.8 INT,231853,
Introduction to animal physiology,"Kay, Ian",571.1 KAY,201405,
Introduction to applied econometrics: a time series approach,"Patterson, Kerry",330.015195 PAT,301942,
"Introduction to automata theory, languages and computation","Hopcroft, John E",004 HOP,285360,
Introduction to automation for librarians,,025.00285 SAF,130866,
Introduction to biostatistics and research methods,"Sunder Rao, P S S",570.15195 RAO,242782,
Introduction to calculus and analysis,"Courant, Richard.",515 COU,239038,
Introduction to ceramics,"Kingory, W. D.",666 KIN,244392,
Introduction to chemical thermodynamics,"Rastogi, R.P.",541.369 RAS,317751,
Introduction to clinical psychology: an evidence-based approach,"Hunsley, John",616.89 HUN,285858,
"Introduction to clinical psychology: science, practice, and ethics","Hecker, Jeffrey E.",616.89 HEC,285867,
Introduction to coding theory,"Lint, J.H. van",003.54 LIN,238192,
Introduction to college physics,"Trivedi, G. K",530 TRI,R6422,
Introduction to Colon Classification,"Batty, C. D",025.4 BAT,53160,
Introduction to combustion: concepts and applications,"Turns, Stephen R",621.4023 TUR,168487,
Introduction to computational biochemistry,"Tsai, C. Stan",572.0285 TSA,247433,
Introduction to computer graphics,"Mukhopadhyay, Anirban",006.6 MUK,233193,
Introduction to computer science,,004 INT,285383,
Introduction to computers,"Leon, Alexis",004 LEO,231927,
Introduction to computers and technology: cyber forums and net searches,"Shepherd, Robert D",004.6 SHE,234033,
Introduction to cosmology,"Narlikar, Jayant J.",523.1 NAR,320277,
Introduction to data communications and networking,"Tomasi, Wayne",005.71 TOM,272987,
Introduction to data compression,"Sayood, Khalid",005.746 SAY,267307,
Introduction to data structures and algorithms with C++,"Rowe, Glenn W",005.73 ROW,231714,
Introduction to database management systems,"Kahate, Atul",005.74 KAH,297088,
Introduction to database systems,"Date, C. J",005.74 DAT,159521,
Introduction to database systems,"Desai, Bipin C",005.74 DES,174917,
Introduction to development economics,"Ghatak, Subrata",338.9 GHA,297093,
Introduction to differentiable manifolds and riemannian geometry,"Boothby, William M.",516.36 BOO,267309,
Introduction to digital and data communications.,"Miller, Michael A.",621.382 MIL,207967,
Introduction to digital electronics,NIIT,621.381 INT,231273,
Introduction to digital signal processing,"Johnson, Johnny R.",621.3822 JOH,182334,
Introduction to digital systems,"Ercegovac, Milos D",004.616,203766,
Introduction to econometrics,"Maddala, G.S.",330.015195 MAD,297186,
Introduction to economics for agriculture,"Black, John Donald",338.1 BLA,R5284,
Introduction to electrodynamics,"Capri, A. Z",537.6 CAP,205036,
Introduction to electrodynamics,"Griffiths, David J",537.6 GRI,241513,
Introduction to elementry particles,"Griffiths, David",531.16 GRI,159015,
Introduction to embedded systems,Shibu K V,006.22 SHI,300353,
Introduction to engineering drawing and autocad,National Institute of Information Technology (NIIT) (New Delhi),604.202855369 NAT,240493,
Introduction to Environmental Biotechnology,"Chatterje, A.K.",628.5 CHA,206725,
Introduction to environmental engineering,"Davis, Mackenzie L",628 DAV,168495,
Introduction to environmental engineering and science,"Masters, Gilbert M",628 MAS,174067,
Introduction to environmental modelling,"Smith, Jo",003 SMI,264249,
Introduction to environmental science,"Anjaneyulu, Y.",363.7 ANJ,248289,
Introduction to finite elements in engineering,"Chandrupatla, Tirupati R",510 CHA,174096,
Introduction to fluid mechanics and fluid machines,"Som, S K",620.106 SOM,239884,
Introduction to formal language and automata,"Linz, Peter",410.285 LIN,318915,
Introduction to fortran 90 for engineers and scientists,"Nyhoff, Larry",005.362 NYH,174046,
Introduction to game theory,"Tijs, Stef",519.3 TIJ,234757,
Introduction to general relativity,"Ryder, Lewis",530.11 RYD,284479,
Introduction to genetic analysis,"Griffiths, Anthony J.F.",576.5 INT,270026,
Introduction to genetics: a molecular approach,"Brown, Terry",576.5 BRO,285207,
Introduction to geographic information systems,"Chang, Kang-Tsung",910.285 CHA,295021,
Introduction to geomorphology,"Kale, Vishwas S",551.41 KAL,242344,
Introduction to graph ltheory,"West, Douglas B.",511.5 WES,234697,
Introduction to health psychology,"Brannon, Linda",613.019 BRA,276921,
Introduction to high energy physics,"Perkins, Donald H.",539.7 PER,299302,
Introduction to high energy physics,"Perkins, Donald H.",539.7 PER,299303,
Introduction to human geography,"Lebon, J. H. G",910.13042 LEB,68054,
Introduction to Indian economy: a descriptive analysis,"Sundharam, K. P. M",330.954 SUN,196277,
Introduction to information systems,"O'Brien, James A.",658.4038 OBR,240829,
Introduction to information technology,"Turban, Efraim",004 TUR,250759,
Introduction to instrumentation and control,"Ghosh, Arun K",621.372 GHO,231176,
Introduction to instrumentation and measurements,"Northrop, Robert B.",621.3815 NOR,270530,
Introduction to interactive computer graphics,Ihtiram Raza Khan,006.6 KHA,233036,
Introduction to Keynesian dynamics,"Kurihara, Kenneth K",330.156 KUR,23859,
Introduction to languages and the theory of computation,"Martin, John C.",511.3 MAR,265848,
Introduction to librarianship,"Gates, Jean Kean",020.92 GAT,60113,
Introduction to linear algebra,"Lang, Serge",512.5 LAN,193465,
Introduction to linguistic science,"Sturtevant, Edgar H",410 STU,52717,
Introduction to management accounting,"Horngren, Charles T.",658.1511 HOR,229826,
Introduction to marketing: theory and practice,"Palmer, Adrian",658.8 PAL,277358,
Introduction to mathematical economics,"Dowling, Edward T.",330.0151 DOW,298860,
Introduction to mathematical physics,"Harper, Charlie",530.15 HAR,X367,
Introduction to mathematical statistics,"Hogg, Robert V.",519.5 HOG,277265,
Introduction to mechanics,"Kleppner, Daniel.",531 KLE,285713,
Introduction to medicinal chemistry: how drugs act and why,"Gringauz, Alex",615.7 GRI,231549,
Introduction to microbiology: a case history approach,"Ingraham, John L",579 ING,237136,
Introduction to microprocessors,"Mathur, Aditya P",004.16 MAT,119636,
Introduction to modern information retrieval,"Salton, Gerard",025.524 SAL,119042,
Introduction to modern physics,"Mani, H. S",539 MAN,299237,
Introduction to modern virology,"Dimmock, N. J",616.0194 DIM,182576,
Introduction to molecular spectroscopy,"Barrow, Gordon M",543.0858 BAR,49298,
"Introduction to nanoelectronics: science, nanotechnology, engineering and applications","Mitin, Vladimir V.",621.381 MIT,320250,
Introduction to neural networks,"Anderson, James A.",006.32 AND,275525,
Introduction to NMR spectroscopy,"Abraham, R. J.",538.362 ABR,316837,
Introduction to numerical analysis,"Froberg, Carl-Erik",519.3 FRO,46872,
Introduction to numerical analysis,"Hildebrand, F. B",519.4 HIL,184655,
Introduction to numerical analysis,"Devi, Prasad",519.4 DEV,238415,
Introduction to operational research,"Kothari ,C.R",003 KOT,300216,
Introduction to operations research,"Hillier, Frederick S.",003 HIL,266843,
Introduction to organic chemistry,"McMurry, John",547 MCM,265268,
Introduction to organizational behavior,The Institute of Chartered Financial Analysts of India,658.4 INS,255841,
Introduction to partial differential equations,"Sankara Rao, K",515.353 SAN,164498,
Introduction to partial differential equations,"Folland, Gerald B",515.35 FOL,207872,
Introduction to partial differential equations,"Rao,K. Sankara",515.353 RAO,234687,
Introduction to partial differnetial equations,"Folland, Gerald  B.",515.35 FOL,234662,
Introduction to physiological psychology,"Leukel, Francis",152 LEU,X254,
Introduction to plant biotechnology,"Chawla, H.S.",581.3 CHA,285409,
Introduction to plant physiology,"Hopkins, William G.",571.2 HOP,270029,
Introduction to plant tissue culture,"Razdan, M.K.",571.538 RAZ,285404,
Introduction to power electronics,"Jagannathan, V",621.317 JAG,231348,
"Introduction to protein science: architecture, function, and genomics","Lesk, Arthur M.",572.6 LES,242423,
Introduction to protein structure,"Branden, Carl",572.633 BRA,205439,
Introduction to psychology,"Munn, Norman L",150 MUN,94349,
Introduction to psychology,"Davidoff, Linda L",150 DAV,166887,
Introduction to psychology,"Morgan, Clifford T.",150 INT,300035,
Introduction to psychology: gateways to mind and behavior,"Coon, Dennis",150 COO,276926,
Introduction to public library organization: with special reference to India,"Viswanathan,C.G.",027.454 VIS,298583,
Introduction to quantum mechanics,"Ghatak, Ajoy",530.12 GHA,167131,
Introduction to quantum mechanics,"Griffiths, David J.",530.12 GRI,278399,
Introduction to quantum mechanics,"Jain, Vimal Kumar",530.12 JAI,284202,
Introduction to quantum mechanics,"Griffiths, David J.",530.12 GRI,320766,
Introduction to quantum mechanics: schrodinger equation and path integral,"Muller-Kirsten, Harald J.W.",530.12 MUL,314886,
Introduction to reference work,"Katz, William A",025.52 KAT,161512,
Introduction to relativistic quantum field theory,"Schweber, Silvan S.",530.143 SCH,299307,
Introduction to scientific research methods in geography,"Montello, Daniel R.",910.72 MON,274307,
Introduction to semiconductor materials and devices,"Tyagi, M.S.",621.38152 TYA,301583,
Introduction to social welfare,"Friedlander, Walter A.",361 FRI,R7399,
"Introduction to social welfare and social work: structure, function and process","Compton, Beulah Roberts",361.3 COM,134495,
Introduction to social work,"Skidmore, Rex A.",361.3 SKI,189285,
Introduction to social work practice,"Siporin, Max",361.32 SIP,59166,
Introduction to sociology,"Wilkins, Elizabeth J",301 WIL,45804,
Introduction to software testing,"Ammann, Paul",004.24 AMM,314361,
Introduction to solid state physics,"Kittel, Charles",530.41 KIT,299539,
Introduction to solids,"Azaroff, Leonid V",536.414 AZA,285728,
Introduction to solid-state theory,"Madelung, Otfried",530.41 MAD,285704,
Introduction to special relativity,"Resnick, Robert",530.11 RES,299267,
Introduction to SQL: mastering the relational database language,"Lans, Rick F. van der",005.362 LAN,272957,
Introduction to systems analysis and design,"Hawryszkiewycz, Igor",004.21 HAW,201958,
Introduction to systems biology: design principles of biological circuits,"Alon, Uri",570.285 ALO,318411,
"Introduction to telecommunications: Voice, Data, and the internet","Cole,Marion",621.382 COL,203600,
Introduction to the constitution of India,"Basu, Durga Das",342.5409 BAS,190068,
Introduction to the constitution of India,"Sharma, Brij Kishore",342.5402 SHA,202104,
Introduction to the design and analysis of algorithms,"Levitin, Anany",005.1 LEV,265842,
Introduction to the invertebrates,"Moore, Janet",592 MOO,286518,
Introduction to the practice of Dewey Decimal Classification,"Satija, M. P",025.431 SAT,191722,
Introduction to the theory of relativity,"Bergmann, Peter Gabriel",530.11 BER,C16271,
Introduction to topology and modern analysis,"Simmons, George F",514 SIM,238369,
Introduction to wavelets with applications,Khalil Ahmad,515.2433 KHA,295980,
Introductions: essays on twelve English poems,"Wain, John",821.09 INT,C7738,
Introductory course in differential equations: for students in classical and engineering colleges,"Murray, Daniel A",515.35 MUR,205551,
Introductory course in electromagnetic fields,"Gupta, P. V",621.34 GUP,177245,
Introductory econometrics,"Goldberger, Arthur S.",330.015195 GOL,287423,
Introductory functional analysis with applications,"Kreyszig, Erwin",515.7 KRE,231635,
Introductory methods in population analysis,"Mandal, R. B",304.6 MAN,176772,
Introductory methods of numerical analysis,"Sastry, S.S.",515 SAS,266849,
Introductory microbiology,"Kaushik, Purshotam",579 KAU,230167,
Introductory mycology,"Alexopoulos, Constantine J",579.5 ALE,285318,
Introductory nuclear physics,"Krane, Kenneth S",539.7 KRA,285670,
Introductory polymer chemistry,"Misra, G. S",541.2254 MIS,179771,
Introductory sociology,"Bilton, Tony",301 INT,183823,
Introductory solid state physics,"Myers, H.P.",530.41 MYE,314470,
Introductory theory of computer science,"Krishnamurthy, E. V",004.1 KRI,185331,
Introdution to protein structure,"Branden, Carl",572.633 BRA,189162,
Introuction to group work practice,"Toseland, Ronald W.",361.4 TOS,191097,
Intuitive topology,"Prasolov, V. V",514 PRA,179433,
Invertebrate zoology,"Anderson, D.T., ed.",592 INV,285284,
Invertebrate zoology: a functional evolutionary approach,"Ruppert, Edward E",592 RUP,286266,
Invertebrates: animal diverstiy,"Kotpal, R.L.",592 KOT,241672,
Investment & securities markets in India,"Avadhani, V. A",332.63270954 AVA,191179,
Investment analysis and portfolio management,Prasanna Chandra,658.152 PRA,297192,
Investment analysis and portfolio management,"Chandra, Prasanna",332.632042 CHA,301499,
Investment management,"Avadhani, V. A",658.152 AVA,176436,
Investment management: security analysis and portfolio management,"Bhalla , V K .",658.152 BHA,235581,
Investments.,"Bodie, Zvi",332.6 BOD,207906,
Invitation to graph theory,Arumugam,511.5 ARU,233591,
Invitation to sociology: a humanistic perspective,"Berger, Peter L",301 BER,65097,
Iran: political development in a changing society,"Binder, Leonard",321.0955 BIN,22761,
Irrgation engineering and hydraulic structures,"Garg, Santosh Kumar",627.52 GAR,316986,
Irrigation engineering,"Sharma, J.L.",627.52 SHA,317074,
Islam,Fazlur Rehman,297.09 FAZ,32625,
Islam,"Siddiqui, Mona, ed.",297 ISL,272644,
Islam and the integration of society,"Watt, W. Montgomery",297.26 WAT,C10026,
Islam and the West,Khurshid Ahmad,297.091821 KHU,Z22,
Islam in modern history,"Smith, Wilfred Cantwell",297.09 SMI,61416,
Islam in South Asia: critical concepts in Islamic Studies,"Taylor, David ed.",297.0954 ISL,272571,
Islam: continuity and change in the modern world,"Voll, John Obert",297.09 VOL,99559,
Islam: its meaning for modern man,"Zafrulla Khan, Muhammad",297 ZAF,10023,
Islamic history: a new interpretation,"Shabana, M. A",297.09 SHA,59662,
Islamic influence on Indian society,"Mujeeb, M",297.0954 MUJ,50171,
Islamic modernism in India and Pakistan: 1857-1964,Aziz Ahmad,297.0954 AZI,10010,
Issues in Indian public finance,"Srivastava, D.K.",336.54 SRI,254881,
IT handbook,"Trehan, Rajesh",004.0202 TRE,231915,
IT tools and applications,"Taxali, Ravi Kant",004 TAX,236272,
J2EE: the complete reference,"Keogh, Jim",005.2762J KEO,318935,
"Jami English-Urdu dictionary: with over 250,000 works",India. Ministry of Human Resource Development. Department of Education,491.439321 IND,192177,
Jane Austen and her art,"Lascelles, Mary",823.9 LAS,10763,
Janeway's immuno biology,"Murphy, Kenneth",616.079 MUR,299272,
Japan emergence as a modern state: political and economic problems of the Meiji period,"Norman, E. Herbert",952.031 NOR,96672,
Java 2: the complete reference,"Schildt, Herbert",005.362 SCH,238348,
Java web services architecture,"Mcgovern, James",005.362J JAV,267311,
JAVA: how to program,"Deitel, H.M.",005.362 DEI,238570,
Java: how to program,"Deitel, Paul",005.362J DEI,265794,
Java: the complete reference,"Schildt, Herbert",005.362J SCH,299752,
Jigs and fixtures,"Joshi, P. H",621.992 JOS,168343,
John E Freund`s Mathematical Statistics with Applications,"Miller, Irwin",519.5 FRE,303663,
Joint structure and function: a  comprehensive analysis,"Levangie, Pamela K",612.75 LEV,286255,
Judgement in literature,"Worsfold, W. Basil",801.95 WOR,C13335,
Jurisprudence: legal theory,"Tripathi, Bijai Narain Mani",340 TRI,120765,
Kaplan and Sadock's comprehensive textbook of psychiatry,"Sadock, Benjamin J., ed.",616.89 KAP,274417,
Key concepts in political geography,"Gallaher, Carolyn",910.132 KEY,295023,
Key methods in geography,"Clifford, Nicholas, ed.",910 KEY,274296,
Keynesian revolution,"Klein, Lawrence R",330.06 KLE,75611,
Keynotes in organic chemistry,"Parsons, Andrew F.",547 PAR,241155,
Kinetic theory and fluid dynamics,"Sone, Yoshio",532.05 SON,234167,
Kinship and economic organization in rural Japan,"Nakane, Chie",306.830952 NAK,64500,
Knee pain and disability,"Cailliet, Rene",617.582 CAI,285808,
Knowledge management: text & cases,"Dutta, Bholanath",658 DUT,301043,
Kuby immunology,"Goldsby, Richard A",571.96 GOL,204288,
Kuby immunology,"Kindt, Thomas J.",571.96 KIN,284206,
Labor economics,"Borjas, George J.",331 BOR,175338,
Laboratory course in C ++,Dale,005.133 DAL,203479,
Laboratory experiments in electrical power engineering,"Indulkar, C.S",621.31028 IND,232069,
Laboratory mannual of organic chemistry.,"Bansal,Raj K.",547 BAN,207045,
Laboratory manual for electric circuits,"Bell, David A",621.3192 BEL,231186,
Laboratory manual for operational amplifiers and linear ICs,"Bell, David A.",621.381535 BEL,231196,
Laboratory manual of food microbiology,"Garg, Neelima",664.001579 GAR,270572,
Laboratory manual of metals and alloys,"Ashraf, S.M.",546.3 ASH,277614,
Laboratory manual of plant taxonomy,"Subrahmanyam, N. S",578.012078 SUB,199712,
Laboratory manual of polymers,"Ashraf, S.M",547.7 ASH,277604,
"Labour law in factories, mines, plantations, transport, shops and other industrial establishments","Srivastava, Suresh C",344.0176 SRI,174386,
Land control and social structure in Indian history,"Frykenberg, Robert Eric",333 LAN,73398,
Land utilization: thoery and practice,"Mandal, R. B",333 MAN,176784,
Landmarks in India legal constitutional history,"Kulshreshtha, V. D",342.54029 KUL,120543,
Lange's handbook of chemistry,"Speight, James G., ed.",540.202 LAN,266818,
Laser and Bose-Einstein condensation physics,"Man Mohan, ed.",539.7 LAS,278582,
Laser fundamentals,"Silfvast, William T.",621.366 SIL,320287,
Laser spectroscopy: basic concept and instrumentation,"Demtroder, Wolfgang",535.84 DEM,201870,
Lasers,"Lengyel, Bela A",535.8 LEN,104691,
Lasers and non-linear optics,"Laud, B. B",535.2 LAU,195192,
Lasers and optical fibre communications,"Sarah, P.",621.38275 SAR,271453,
Lasers and optical instrumentation,"Nagabhushana, S.",535.420284 NAG,271448,
Lasers: theory and applications,"Thyagarajan, K",621.366 THY,175517,
Later Mughals,"Irvine, William",954.025 IRV,4902,
Lattices and boolean algebras: first concepts,"Khanna, Vijay K",511.324 KHA,195484,
Law and emerging technology: (cyber law),"Goel, Hemant",343.09944 GOE,301267,
Law and environment,"Leelakrishan, P",344.54046 LAW,146135,
Law of income tax in India,"Rai, Kailash",343.54052 RAI,139695,
Law of land lord and tenant in Delhi: Delhi rent control act,Jaspal Singh,346.545604341 JAS,140654,
Law relating to trade unions and unfair labour practices in India,"Srivastava, Kirpa Dayal",344.54011 SRI,174383,
"Law, liberty and social justice","Gajendragadkar, P. B",340.1150954 GAJ,24032,
Le nouveau sans frontieres: Methode de francais,"Dominique, Philippe",445 LEN,207541,
Le Petit prince,"De Saint-Exupery, Antoine",843 DES,45577,
Leadership: theory and practice,"Northouse, Peter G.",658.4092 NOR,320371,
Leading issues in economic development,"Meier, Gerald M",338.9 MEI,167088,
Learn computer basics and its application in libraries,"Dhiman, Anil K.",025.0285 DHI,236447,
Learn information and reference sources and services,"Dhiman, Anil K.",025.52 DHI,236446,
Learn library management,"Dhiman, Anil K",025.1 DHI,236453,
Learning with python: how to think like a computer scientist,"Downey, Allen",005.133 DOW,319914,
Lebesgue Measure and Integration,"Jain, P. K",515.43 JAI,303655,
Legal aspects of business,Ravinder Kumar,346.065 RAV,285075,
Legal remedies: under various enactments in India,"Dayal, Rameshwar",347.54 DAY,120786,
Lehninger principles of biochemistry,"Nelson, David L.",572 NEL,264265,
Lehninger principles of biochemistry,"Cox, Michael M.",572.01 COX,285330,
Lesikar's basic business communication,"Pettit, John D",651.74 PET,180563,
Lessons in modern Persian,Ahmad Saeed,491.5582 AHM,115400,
Let us C,"Kanetkar, Yashavant P",005.133 KAN,236642,
Let us C,"Kanetkar, Yashavant P.",005.133C KAN,248570,
Let us C++,"Kanetkar, Yashavant",005.133C KAN,299584,
Lewin's essential genes,"Lewin, Benjamin",576.5 LEW,269986,
Lewin's genes X,"Krebs, Jocelyn E.",576.5 KRE,269994,
Librarianship and library science in India: an outline of historical perspectives,"Taher, Mohamed",027.92054 TAH,161326,
"Libraries and society: role, responsibility and future in an age of change",,021.2 LIB,287390,
Library administration,"Rangnathan, S R",025.1 RAN,R11689,
Library administration: theory and practice,"Mittal, R. L",025.1 MIT,162604,
Library and information science: a question bank approach,"Faruqi, Khalid Kamal",020.076 FAR,133148,
Library and society,"Khanna, J. K",021.2 KHA,316595,
Library classification: facets and analyses,Shabahat Husain,,152941,
Library legislation in India: problems and prospects,"Rout, R. K",025.06340954 LIB,110557,
Library manual,Krishan Kumar,020 KRI,196251,
Library organization,Krishan Kumar,020.06 KRI,189977,
Lie algebras in particle physics,"Georgi, Howard",512.55 GEO,299282,
"Lie groups, lie algebras, and representations: an elementary introduction","Hall, Brian C.",512.55 HAL,238704,
Ligand field theory and its applications,"Figgis, Brian N.",541.2242 FIG,316809,
Limit state design of reinforced concrete,"Varghese, P C",624.18341 VAR,230986,
Limit state design of steel structures,"Duggal, S.K.",624.1821 DUG,317299,
Linear algebra,"Janich, Klaus.",512.5 JAN,193471,
Linear algebra and group theory for physicists,"Rao, K.N. Srinivasa",512.5 RAO,284042,
Linear algebra: a geometric approach,"Kumaresan, S",512.5 KUM,239073,
Linear algebra: a pure mathematical apporach,"Rose, Harvey E.",512.5 ROS,238634,
